,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,RESALE,TARGET(PRICE_IN_LACS)
0,0,0,2,0,1300.236407,1,55.0
1,0,0,2,0,1275.0,1,51.0
2,0,0,2,0,933.1597222,1,43.0
3,0,1,2,0,929.9211427,1,62.5
4,1,0,2,0,999.009247,1,60.5
5,0,0,3,0,1250.0,1,42.0
6,0,0,3,0,1495.053957,1,66.5
7,0,1,3,0,1181.012946,1,52.0
8,0,1,2,0,1040.0,1,41.6
9,0,1,2,0,879.1208791000001,1,36.0
10,0,0,3,0,1350.308642,1,35.0
11,0,0,2,0,1333.010179,1,110.0
12,0,0,2,0,927.1779023,1,48.0
13,0,1,2,0,1122.1719460000004,1,62.0
14,0,0,1,0,649.9837504,1,20.0
15,1,1,3,0,1394.117647,1,71.1
16,0,0,3,0,1800.08471,1,85.0
17,1,1,3,0,2124.896706,1,180.0
18,0,0,2,0,1100.0,1,22.0
19,0,1,3,0,2178.649237,1,120.0
20,0,0,2,0,881.1435285,1,45.0
21,0,0,2,0,944.8818898,1,42.0
22,0,1,3,0,1310.147689,1,55.0
23,0,0,1,0,630.00063,1,300.0
24,0,0,2,0,1219.80971,1,50.0
25,0,0,2,0,780.141844,1,27.5
26,0,0,3,0,1600.0,1,46.0
27,0,0,2,0,1180.412371,1,22.9
28,1,0,2,0,1000.0,1,39.0
29,0,0,2,0,1000.0,1,12.5
30,0,0,3,0,1400.107701,1,52.0
31,0,1,2,0,943.1266076,1,33.0
32,0,0,2,0,1150.146382,1,55.0
33,1,1,1,0,864.0674393999999,1,82.0
34,0,1,2,0,857.7861968000002,0,240.0
35,0,0,3,0,1174.210077,1,55.0
36,1,1,2,0,1020.087884,1,65.0
37,0,0,4,0,1650.165017,1,65.0
38,1,0,2,0,1000.0,1,35.0
39,0,0,3,0,1300.052002,1,75.0
40,1,1,1,0,40606.19568,0,9110.0
41,0,1,2,0,1058.114928,1,65.0
42,1,0,1,0,400.0,1,30.0
43,0,1,3,0,1274.924779,1,250.0
44,0,0,2,0,1026.694045,1,220.0
45,0,0,2,0,1150.121065,1,38.0
46,0,0,3,0,1200.0,1,60.0
47,0,0,1,1,475.0103263,1,46.0
48,1,1,1,0,301.9171163000001,0,26.3
49,1,1,2,0,1228.571429,1,51.6
50,0,0,2,0,986.0164934,1,55.0
51,1,1,3,0,1972.565158,1,71.9
52,1,1,1,0,420.6166888,1,130.0
53,0,0,3,0,1275.009808,1,32.5
54,1,1,1,0,406.024219,0,39.9
55,0,0,3,0,1862.562189,1,59.9
56,0,0,2,0,950.0146156,1,65.0
57,0,1,4,0,5200.945626,1,110.0
58,0,0,2,0,1049.969344,1,68.5
59,0,0,3,0,1615.008157,1,99.0
60,0,0,3,0,1150.0069,1,250.0
61,0,0,2,0,1100.0,1,27.5
62,1,1,2,0,906.2661833,0,70.0
63,0,0,3,0,1454.333915,1,50.0
64,0,0,3,0,1591.994542,1,70.0
65,0,1,2,0,573.8769151,1,22.1
66,0,1,3,0,1038.883942,1,280.0
67,0,0,3,0,1538.141758,1,74.0
68,0,0,2,0,5000.0,1,85.0
69,0,0,3,0,1602.084012,1,49.2
70,0,0,2,0,1200.0,1,45.0
71,0,0,2,0,760.0709400000002,1,60.0
72,1,0,2,0,739.8273736000001,1,30.0
